coluna,feature,tipo,bloco,familia,sub_bloco,recorte,n,shap_medio_abs,participacao
sigla_uf_PB,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0014853311564671807,0.0016365464560024958
caderno_10,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0013466424281158215,0.0014837384132420162
sigla_uf_PE,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0013279997205610122,0.0014631977702707338
caderno_17,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0012729668528244885,0.0014025622384125883
caderno_5,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.001178475597544973,0.0012984512270212136
sigla_uf_AC,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0009742853979253399,0.001073473284504503
caderno_7,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0009599121753103016,0.0010576367847249365
sigla_uf_AL,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0008266816469223861,0.0009108426182421029
caderno_2,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0008184018352650697,0.0009017198738863067
sigla_uf_MT,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0007877760561348049,0.0008679762133701156
mun_nivel_alfabetizacao_lag1,mun_nivel_alfabetizacao_lag1,valor,num,metas,metas,gold,43263,0.0007709589225045558,0.0008494469983039178
caderno_8,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0006905717417847143,0.0007608759378085639
caderno_6,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0006278770167086176,0.0006917985272347663
nome_regiao_Sul,nome_regiao,dummy,cat,territorial,territorial,gold,43263,0.0006145867722272832,0.0006771552590244189
caderno_14,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0005809175100096137,0.0006400582712458801
caderno_16,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0005723850500424308,0.0006306571575215248
missingindicator_uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,indicador_de_nulo,num,territorial,territorial,gold,43263,0.0005699315451894335,0.0006279538716889514
sigla_uf_PI,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.00056588654189447,0.0006234970636713803
caderno_3,caderno,dummy,cat_rara,estrutural,controle_negativo,gold,43263,0.0005178599147354516,0.0005705810481898312
sigla_uf_RO,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.0004918690688650261,0.0005419441839373362
