id_municipio,taxa_2023,taxa_2024,meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,n_alunos_avaliados,taxa_presenca_2024,sigla_uf,nome_regiao,n_alunos_2023,taxa_2024_suavizada,projecao_2025,dp_latente_pp,intervalo_2025_inferior,intervalo_2025_superior,p_abaixo_da_meta_2025,gap_de_esforco_2025,meta_dentro_do_intervalo,natureza_resultado,porte_abaixo_referencia_dispersao
4300901,85.0,39.2,80.0,80.0,80.0,80.0,80.0,80.0,80,60,0.9230769230769231,RS,Sul,58.0,41.66256406722431,43.97563560432021,17.49772161736505,9.680731422776766,78.27053978586365,0.9802434501334332,40.8,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4314464,74.1,35.3,75.04,75.92,76.78,77.62,78.43,79.23,80,17,0.85,RS,Sul,21.0,43.17841235484462,45.49148389194052,28.879617641255663,0.0,100.0,0.8539744963239762,40.620000000000005,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2402402,65.5,29.88,67.88,70.15,72.33,74.41,76.38,78.24,80,58,0.8285714285714286,RN,Nordeste,84.0,33.68201633263456,35.99508786973046,17.702159658958905,1.299492489593156,70.69068324986776,0.9731606679843581,40.27000000000001,True,cenario_condicional_sem_validacao_em_ano_futuro,True
3529708,64.3,29.09,66.88,69.35,71.72,73.97,76.11,78.11,80,155,0.7948717948717948,SP,Sudeste,,30.688762036167066,33.001833573262964,13.351543084811754,6.833289988997109,59.17037715752881,0.9967594630741659,40.25999999999999,False,cenario_condicional_sem_validacao_em_ano_futuro,False
2106359,83.3,39.77,80.0,80.0,80.0,80.0,80.0,80.0,80,41,0.8723404255319149,MA,Nordeste,36.0,43.062447076402115,45.375518613498016,20.071873333890046,6.0353697768236145,84.71566745017242,0.957738507802986,40.23,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2106607,72.3,34.52,73.54,74.7,75.83,76.93,77.99,79.01,80,269,0.8966666666666666,MA,Nordeste,289.0,35.28541943217527,37.59849096927117,12.001187021019879,14.07659663634266,61.12038530219967,0.9990042151926898,40.18,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4305587,86.9,39.9,80.0,80.0,80.0,80.0,80.0,80.0,80,25,0.8620689655172413,RS,Sul,30.0,44.70175414399277,47.01482568108867,24.460902893658698,0.0,94.95731438199131,0.91124886914889,40.1,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4317558,72.2,34.6,73.44,74.62,75.77,76.88,77.96,79.0,80,26,1.0,RS,Sul,18.0,40.641057327691406,42.95412886478731,24.06391718874983,0.0,90.11853988169132,0.9058973290645058,40.02,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4321634,100.0,40.0,80.0,80.0,80.0,80.0,80.0,80.0,80,15,1.0,RS,Sul,12.0,46.75492811631689,49.06799965341279,30.53259256505269,0.0,100.0,0.8444893491409013,40.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4308409,89.5,40.0,80.0,80.0,80.0,80.0,80.0,80.0,80,44,0.9565217391304348,RS,Sul,53.0,43.067015410903565,45.380086947999466,19.546288826347855,7.070064816939983,83.69010907905894,0.9617342609386249,40.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4304952,86.1,40.0,80.0,80.0,80.0,80.0,80.0,80.0,80,20,0.8,RS,Sul,39.0,45.594987399368954,47.908058936464855,26.898876552041013,0.0,100.0,0.8835768249383735,40.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2513109,87.4,40.52,80.0,80.0,80.0,80.0,80.0,80.0,80,37,0.925,PB,Nordeste,56.0,43.94974012656584,46.26281166366174,20.878128743121927,5.342431262552253,87.18319206477122,0.9469431719997665,39.48,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2112605,76.8,38.63,77.24,77.72,78.19,78.65,79.11,79.56,80,277,0.9358108108108109,MA,Nordeste,299.0,39.24304668942739,41.55611822652329,11.94504696067225,18.144256389966035,64.96798006308053,0.9987671575214727,39.089999999999996,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4300661,68.8,33.3,70.55,72.3,73.98,75.59,77.13,78.6,80,15,0.7894736842105263,RS,Sul,16.0,42.58783948028474,44.90091101738064,30.53259256505269,0.0,100.0,0.8152397349937504,39.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4312138,76.5,38.7,77.01,77.53,78.04,78.54,79.04,79.52,80,28,0.9032258064516129,RS,Sul,33.0,43.408423828119986,45.72149536521589,23.338224392137032,0.0,91.46357463691866,0.9135486485743856,38.83,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4311643,100.0,41.2,80.0,80.0,80.0,80.0,80.0,80.0,80,17,1.0,RS,Sul,11.0,47.01874083134156,49.33181236843746,28.879617641255663,0.0,100.0,0.8558667021310343,38.8,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4305439,50.0,21.1,54.93,59.77,64.43,68.83,72.91,76.64,80,33,0.8918918918918919,RS,Sul,26.0,29.059488270603218,31.372559807699115,21.838414279390104,0.0,74.17506527476895,0.9032583684328367,38.67,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2919009,50.0,21.21,54.93,59.77,64.43,68.83,72.91,76.64,80,33,0.9428571428571428,BA,Nordeste,28.0,29.145675604605113,31.45874714170101,21.838414279390104,0.0,74.26125260877086,0.9025806124757865,38.56,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2514453,58.9,27.36,62.36,65.74,68.97,72.02,74.89,77.55,80,56,0.9180327868852459,PB,Nordeste,53.0,31.631632805427234,33.94470434252313,17.918612259253997,0.0,69.06453902359885,0.9620038475831472,38.379999999999995,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4305850,86.6,41.7,80.0,80.0,80.0,80.0,80.0,80.0,80,12,0.8,RS,Sul,23.0,48.68056673482516,50.993638271921064,33.77763842729506,0.0,100.0,0.8047592573788852,38.3,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2507408,53.5,23.83,57.85,62.12,66.22,70.09,73.69,76.99,80,54,0.8571428571428571,PB,Nordeste,30.0,28.74690878482863,31.059980321924527,18.14822306934026,0.0,66.62984392123039,0.9565021995796616,38.29,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2500734,85.3,41.89,80.0,80.0,80.0,80.0,80.0,80.0,80,29,0.9354838709677419,PB,Nordeste,45.0,45.71186564897107,48.02493718606697,23.005484136729415,2.9350168311697686,93.11485754096415,0.9177186637174655,38.11,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4111308,77.4,40.32,77.77,78.15,78.53,78.91,79.28,79.64,80,40,0.851063829787234,PR,Sul,35.0,43.577384063040626,45.89045560013653,20.261171888358003,6.179288414379435,85.60162278589361,0.9443284865555176,37.830000000000005,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4318903,80.3,42.3,80.0,80.0,80.0,80.0,80.0,80.0,80,368,0.9223057644110275,RS,Sul,341.0,42.67638657333533,44.98945811043123,11.467610869934079,22.51335381664039,67.46556240422206,0.998867145916221,37.7,False,cenario_condicional_sem_validacao_em_ano_futuro,False
2108801,83.0,42.38,80.0,80.0,80.0,80.0,80.0,80.0,80,103,0.7744360902255639,MA,Nordeste,135.0,43.63950461026416,45.95257614736006,14.800249951664378,16.944619279907197,74.96053301481292,0.9892889916245253,37.62,False,cenario_condicional_sem_validacao_em_ano_futuro,True
2511509,73.4,38.07,74.43,75.43,76.39,77.34,78.25,79.14,80,86,0.8958333333333334,PB,Nordeste,117.0,39.9677490414995,42.2808205785954,15.590960276367204,11.723099952521029,72.83854120466977,0.9832558399451016,37.36000000000001,False,cenario_condicional_sem_validacao_em_ano_futuro,True
1302553,47.0,20.56,52.37,57.7,62.84,67.71,72.23,76.33,80,186,0.7848101265822784,AM,Norte,180.0,22.303347398672106,24.616418935768003,12.837439558735728,0.0,49.777338124599794,0.9950185859237758,37.14,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4311254,84.6,42.9,80.0,80.0,80.0,80.0,80.0,80.0,80,35,0.9210526315789473,RS,Sul,30.0,45.993359158483514,48.306430695579415,21.336220302238143,6.488207336980338,90.12465405417848,0.9312856906157075,37.1,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4306973,73.3,38.5,74.36,75.37,76.35,77.31,78.23,79.13,80,29,0.9354838709677419,RS,Sul,32.0,43.13273922230454,45.44581075940044,23.005484136729415,0.35589040450323495,90.53573111429762,0.9033265336363089,36.870000000000005,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4304408,78.7,42.2,78.87,79.06,79.25,79.44,79.63,79.82,80,467,0.8221830985915493,RS,Sul,470.0,42.50003880075568,44.81311033785158,11.148676487311024,22.96210594743345,66.66411472826971,0.9989362619621677,36.86,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4305124,75.1,39.8,75.82,76.56,77.28,77.98,78.67,79.34,80,41,0.8723404255319149,RS,Sul,31.0,43.08698937375461,45.40006091085051,20.071873333890046,6.059912074176111,84.74020974752491,0.9397188900927844,36.760000000000005,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4306205,68.2,35.2,70.11,71.94,73.7,75.39,77.0,78.54,80,59,0.8194444444444444,RS,Sul,100.0,38.234117065764885,40.547188602860786,17.598504893695004,6.054752829466679,75.03962437625489,0.9627746785765019,36.739999999999995,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4306924,76.9,41.2,77.38,77.83,78.28,78.72,79.15,79.58,80,17,1.0,RS,Sul,13.0,47.01874083134156,49.33181236843746,28.879617641255663,0.0,100.0,0.8381277930072256,36.629999999999995,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4320677,69.6,36.3,71.29,72.89,74.43,75.91,77.34,78.7,80,63,0.9,RS,Sul,70.0,39.026760822404086,41.33983235949999,17.211410734345645,7.606087197056432,75.07357752194353,0.9666058497681607,36.59,True,cenario_condicional_sem_validacao_em_ano_futuro,True
3515657,92.9,44.0,80.0,80.0,80.0,80.0,80.0,80.0,80,25,0.9259259259259259,SP,Sudeste,,47.706072370656806,50.01914390775271,24.460902893658698,2.076655206850056,97.96163260865535,0.8898374902065154,36.0,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2933257,67.8,35.85,69.8,71.69,73.51,75.25,76.91,78.5,80,53,0.9636363636363636,BA,Nordeste,64.0,39.08177921589502,41.39485075299092,18.268361875837652,5.589519419804532,77.2001820861773,0.9513755371201565,35.839999999999996,True,cenario_condicional_sem_validacao_em_ano_futuro,True
3518859,64.6,33.82,67.08,69.51,71.84,74.06,76.16,78.14,80,59,0.8676470588235294,SP,Sudeste,,37.03883052104501,39.35190205814091,17.598504893695004,4.8594662847468015,73.844337831535,0.956705680547269,35.690000000000005,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4316733,75.0,40.9,75.76,76.51,77.24,77.95,78.65,79.33,80,22,0.9565217391304348,RS,Sul,16.0,45.87168087658437,48.18475241368027,25.81926027113842,0.0,98.78957265257745,0.8636921631150931,35.61000000000001,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4310462,82.4,44.4,80.0,80.0,80.0,80.0,80.0,80.0,80,18,1.0,RS,Sul,17.0,48.9282512683011,51.241322805397004,28.162258007644407,0.0,100.0,0.8464149338851448,35.6,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4316477,100.0,44.4,80.0,80.0,80.0,80.0,80.0,80.0,80,36,0.9473684210526315,RS,Sul,34.0,47.12167025519726,49.43474179229316,21.102054270927827,8.07547542146498,90.79400816312133,0.9262542985940323,35.6,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4309050,65.1,34.3,67.53,69.87,72.11,74.25,76.28,78.2,80,68,0.918918918918919,RS,Sul,107.0,37.08642701433595,39.399498551431854,16.781493926024815,6.508374849645534,72.29062225321817,0.9652933661209102,35.57000000000001,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2516904,98.1,44.45,80.0,80.0,80.0,80.0,80.0,80.0,80,124,0.9841269841269841,PB,Nordeste,117.0,45.369031559375216,47.68210309647112,14.087564559840422,20.070983929301025,75.2932222636412,0.9891068376706866,35.55,False,cenario_condicional_sem_validacao_em_ano_futuro,True
2924504,71.0,38.33,72.46,73.83,75.15,76.44,77.67,78.86,80,120,0.9523809523809523,BA,Nordeste,148.0,39.709662782411165,42.022734319507066,14.206527982164387,14.178451129104374,69.86701750990974,0.9874194070948927,35.5,False,cenario_condicional_sem_validacao_em_ano_futuro,True
2203354,33.2,11.96,40.14,47.45,54.88,62.09,68.8,74.81,80,44,0.88,PI,Nordeste,89.0,19.840043824092092,22.15311536118799,19.546288826347855,0.0,60.46313749224747,0.9022025124347014,35.49,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4311627,67.6,36.1,69.56,71.5,73.36,75.15,76.85,78.47,80,80,0.975609756097561,RS,Sul,71.0,38.32706779115016,40.64013932824606,15.937309984856665,9.403585747476395,71.87669290901572,0.9735862334574535,35.4,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4316428,78.8,43.8,78.98,79.16,79.33,79.5,79.67,79.83,80,16,1.0,RS,Sul,34.0,48.90661311887944,51.21968465597534,29.665919781765044,0.0,100.0,0.8268606945062982,35.36,True,cenario_condicional_sem_validacao_em_ano_futuro,True
