id_municipio,sigla_uf,nome_regiao,cluster,cluster_nome,n_avaliados,taxa_alfabetizacao_2023,taxa_alfabetizacao_2024,media_portugues_2024,taxa_presenca_2024,log_porte,share_rede_estadual,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
3547700,SP,Sudeste,1,faixa intermediária,87,0.8,0.79010993,775.3693,0.9560439560439561,1.9395192526186185,0.0,2.25,0.0,0.0,9.31,17.53,14.07,31.15,9.01,16.68
3547908,SP,Sudeste,1,faixa intermediária,64,0.49700000000000005,0.6718344,758.3007,0.9142857142857143,1.806179973983887,0.0,1.7,3.16,1.49,18.89,13.89,21.84,20.31,18.71,0.0
3548005,SP,Sudeste,1,faixa intermediária,213,0.5429999999999999,0.62066334,755.27747,0.902542372881356,2.3283796034387376,0.0,2.27,4.49,4.98,12.44,21.21,14.89,22.03,12.12,5.57
3548054,SP,Sudeste,1,faixa intermediária,87,0.502,0.6221544,756.43964,0.925531914893617,1.9395192526186185,0.0,0.0,2.47,9.43,12.96,19.88,16.46,23.68,10.3,4.82
3548104,SP,Sudeste,1,faixa intermediária,69,0.715,0.72452563,767.16077,0.9583333333333334,1.8388490907372552,0.0,0.0,1.45,5.8,10.15,17.39,17.39,20.27,20.29,7.26
3548203,SP,Sudeste,1,faixa intermediária,72,0.429,0.73679066,768.03754,0.9863013698630136,1.8573324964312685,0.0,0.0,6.95,4.11,5.48,12.52,16.73,25.05,25.05,4.11
3548401,SP,Sudeste,1,faixa intermediária,62,0.7390000000000001,0.77358633,778.0504,0.96875,1.792391689498254,0.0,0.0,0.0,1.67,6.57,16.07,17.83,22.74,27.09,8.02
3548807,SP,Sudeste,1,faixa intermediária,1096,0.61,0.661232,757.70795,0.8845843422114609,3.0398105541483504,0.0,1.84,2.09,6.86,12.19,17.25,21.33,21.41,12.52,4.51
3548906,SP,Sudeste,1,faixa intermediária,2049,0.516,0.61897993,754.8315,0.9070385126162018,3.311541958401195,0.5124102,2.76,3.8,8.46,11.58,16.32,20.06,17.86,12.84,6.33
3549102,SP,Sudeste,1,faixa intermediária,627,0.546,0.6160049,754.1458,0.9008620689655172,2.7972675408307164,0.0,1.74,3.3,8.23,12.22,19.61,18.52,19.6,12.05,4.73
3549201,SP,Sudeste,1,faixa intermediária,10,0.8640000000000001,0.8,768.7387,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,10.0,30.0,0.0
3549409,SP,Sudeste,1,faixa intermediária,416,0.455,0.67937523,761.6083,0.9369369369369369,2.6190933306267428,0.713964,1.88,3.62,4.39,12.38,15.66,19.0,19.03,17.35,6.68
3549706,SP,Sudeste,1,faixa intermediária,415,0.47700000000000004,0.67615783,763.76794,0.9284116331096197,2.6180480967120925,0.4474273,0.74,2.75,6.37,9.51,17.26,19.87,19.38,16.71,7.4
